,,ロット情報,,,,,,①盛り後,②2~3h後点検,,,,,③制御2→3,,,,,,,④手入れ前,,,,,,,,⑤制御3→4,,,,,,⑥制御4,,,⑦朝から除湿,,,,,
製麴機,月日,産地,新古,品種,精米歩合,枚数,重量,①品温,②時刻,②時刻(h),②品温,②保温1,②保温2,③換気,③排気,③除湿機入り,③除湿機戻り,③保温1,③保温2,③風量,④時刻,④時刻(h),④品温,④換気,④排気,④除湿機入り,④除湿機戻り,④風量,"⑤変更有無
変更無=1
変更有=2",⑤換気,⑤排気,⑤除湿機入り,⑤除湿機戻り,⑤風量,⑥変更有無,⑥換気,⑥排気,⑦換気,⑦排気,⑦除湿機入り,⑦除湿機戻り,⑦風量,
A,2024/4/23,広島県,新米,山田錦,60,6,125,33.42,11:04:00,11.07 ,36.28,,,,,,,,,,15:04:00,15.07 ,41.66,0.7,0.9,2.9,1.0,6.0,1,0.7,0.9,2.9,1.0,6.0,1,0.7,0.9,,,,,,
B,2024/4/24,広島県,新米,八反錦,45,6,120,33.84,10:51:00,10.85 ,36.50,,,,,,,,,,15:05:00,15.08 ,41.12,0.6,0.8,2.9,1.0,6.0,2,0.6,0.6,2.9,1.0,6.0,2,0.5,0.4,,,,,,
A,2024/4/25,広島県,新米,山田錦,60,6,125,32.96,11:04:00,11.07 ,35.48,,,,,,,,,,,0.00 ,,0.7,0.9,2.9,1.0,6.0,1,0.7,0.9,2.9,1.0,6.0,1,0.7,0.9,,,,,,
B,2024/4/26,広島県,新米,山田錦,60,6,110,32.66,11:14:00,11.23 ,35.68,,,1.2,2.1,全閉,全閉,40.0,40.5,5.8,,0.00 ,,0.6,0.8,2.9,1.0,5.8,1,0.6,0.8,2.9,1.0,5.8,2,0.6,0.6,,,,,,
A,2024/4/27,広島県,新米,八反錦,60,6,120,33.00,,,,,,,,,,,,,14:32:00,14.53 ,40.84,0.7,0.9,2.9,1.0,6.0,2,0.7,0.7,2.9,1.0,6.0,2,0.6,0.5,,,,,,
B,2024/4/28,広島県,新米,山田錦,60,6,118,33.36,11:02:00,11.03 ,35.98,,,,,,,,,,,0.00 ,,0.6,0.8,2.9,1.0,5.8,1,0.6,0.8,2.9,1.0,5.8,2,0.6,0.6,,,,,,
A,2024/4/29,広島県,新米,八反錦,60,6,140,33.18,10:45:00,10.75 ,35.54,,,,,,,,,,14:56:00,14.93 ,41.28,0.7,0.9,2.9,1.0,6.2,2,0.6,0.8,2.9,1.0,6.2,1,0.6,0.8,,,,,,
B,2024/4/30,兵庫県,新米,山田錦,50,6,110,33.40,11:00:00,11.00 ,36.16,,,,,,,,,,15:04:00,15.07 ,41.00,0.5,0.7,2.9,1.0,5.8,2,0.6,0.7,2.9,1.0,5.8,1,0.6,0.7,,,,,,
B,2024/5/2,広島県,新米,八反錦,60,6,120,32.76,10:40:00,10.67 ,35.78,,,,,,,,,,14:17:00,14.28 ,41.24,0.6,0.8,2.9,1.0,6.0,2,0.6,0.6,2.9,1.0,6.0,2,0.6,0.4,,,,,,
A,2024/5/3,兵庫県,新米,山田錦,50,6,120,31.64,10:40:00,10.67 ,33.30,,,,,,,,,,,0.00 ,40.80,0.6,0.8,2.9,1.0,6.0,1,0.6,0.8,2.9,1.0,6.0,1,0.6,0.8,,,,,,
B,2024/5/4,兵庫県,新米,山田錦,50,6,110,32.86,10:57:00,10.95 ,35.50,,,,,,,,,,14:31:00,14.52 ,40.94,0.6,0.8,2.9,1.0,5.8,1,0.6,0.8,2.9,1.0,5.8,2,0.6,0.7,,,,,,
A,2024/5/5,兵庫県,新米,山田錦,50,6,150,32.78,11:11:00,11.18 ,35.74,,,,,,,,,,14:45:00,14.75 ,41.08,0.8,1.0,2.9,1.0,6.3,2,0.7,0.8,2.9,1.0,6.3,1,0.7,0.8,,,,,,
B,2024/5/6,兵庫県,新米,山田錦,50,6,125,33.22,11:05:00,11.08 ,36.26,,,,,,,,,,14:47:00,14.78 ,41.52,0.7,0.9,2.9,1.0,6.0,1,0.7,0.9,2.9,1.0,6.0,1,0.7,0.9,,,,,,
A,2024/5/7,広島県,新米,八反錦,60,6,120,33.12,11:00:00,11.00 ,35.82,,,,,,,,,,14:49:00,14.82 ,41.18,0.7,0.9,2.9,1.0,6.0,1,0.7,0.9,2.9,1.0,6.0,1,0.7,0.9,,,,,,
A,2024/5/9,広島県,新米,八反錦,60,6,130,32.02,10:42:00,10.70 ,34.44,,,1.3,2.1,全閉,全閉,39.0,39.5,6.0,14:55:00,14.92 ,40.96,0.7,0.9,2.9,1.0,6.0,2,0.7,0.7,2.9,1.0,6.0,1,0.7,0.7,,,,,,
B,2024/5/10,広島県,新米,八反錦,60,3,65,31.54,11:00:00,11.00 ,34.32,,,,,,,,,,15:05:00,15.08 ,40.80,1.3,1.8,全閉,全閉,4.8,1,1.3,1.8,全閉,全閉,4.8,1,1.3,1.8,,,,,,
A,2024/5/11,兵庫県,新米,山田錦,50,6,150,32.70,10:35:00,10.58 ,34.58,,,,,,,,,,,0.00 ,,0.8,0.9,2.9,1.0,6.2,1,0.8,0.9,2.9,1.0,6.2,1,0.8,0.9,,,,,,
B,2024/5/12,広島県,新米,八反錦,60,6,110,33.34,10:44:00,10.73 ,35.56,,,,,,,,,,14:58:00,14.97 ,41.10,0.6,0.8,2.9,1.0,5.8,2,0.5,0.8,2.9,1.0,5.8,2,0.4,0.6,,,,,,
A,2024/5/13,広島県,新米,八反錦,60,6,140,32.72,10:38:00,10.63 ,35.12,,,,,,,,,,14:24:00,14.40 ,40.72,0.7,0.9,2.9,1.0,6.2,2,0.6,0.7,2.9,1.0,6.2,2,0.5,0.5,,,,,,
A,2024/5/15,広島県,新米,八反錦,60,6,140,32.38,11:04:00,11.07 ,35.80,,,1.4,2.2,全閉,全閉,39.0,39.5,6.2,14:27:00,14.45 ,40.78,0.7,0.9,2.9,1.0,6.2,2,0.6,0.7,2.9,1.0,6.2,2,0.6,0.5,,,,,,
B,2024/5/16,広島県,新米,八反錦,60,6,120,32.64,11:13:00,11.22 ,35.56,,,,,,,,,,15:05:00,15.08 ,41.3,0.6,0.8,2.9,1.0,6.0,2,0.6,0.6,2.9,1.0,6.0,2,0.5,0.4,,,,,,
A,2024/5/17,広島県,新米,八反錦,70,6,140,32.56,11:11:00,11.18 ,35.70,,,,,,,,,,,0.00 ,,0.7,0.8,2.9,1.0,6.2,1,0.7,0.8,2.9,1.0,6.2,1,0.7,0.8,,,,,,
B,2024/5/18,広島県,新米,八反錦,60,6,120,32.74,11:02:00,11.03 ,35.50,,,,,,,,,,15:06:00,15.10 ,41.24,0.6,0.8,2.9,1.0,6.0,2,0.6,0.6,2.9,1.0,6.0,2,0.3,0.6,,,,,,
A,2024/5/19,広島県,新米,八反錦,70,6,140,33.14,11:20:00,11.33 ,37.10,,,,,,,,,,14:43:00,14.72 ,41.48,0.7,0.8,2.9,1.0,6.2,1,0.7,0.8,2.9,1.0,6.2,1,0.7,0.8,,,,,,
B,2024/5/20,広島県,新米,八反錦,70,6,110,32.70,11:02:00,11.03 ,35.96,,,,,,,,,,14:50:00,14.83 ,41.64,0.6,0.7,2.9,1.0,5.8,2,0.6,0.6,2.9,1.0,5.8,2,0.6,0.5,,,,,,
A,2024/5/21,広島県,新米,八反錦,70,6,114,33.06,10:42:00,10.70 ,36.30,,,,,,,,,,13:50:00,13.83 ,40.78,0.6,0.7,2.9,1.0,6.0,1,0.6,0.7,2.9,1.0,6.0,1,0.6,0.7,,,,,,
A,2024/10/7,広島県,古米,八反錦,60,3,55,31.44,12:08:00,12.13 ,35.60,,,1.2,2.1,全閉,全閉,39.0,39.5,4.2,15:15:00,15.25 ,40.74,1.3,2.1,全閉,全閉,4.2,1,1.3,2.1,全閉,全閉,4.2,2,1.2,2.05,,,,,,
A,2024/10/9,広島県,古米,八反錦,60,4,85,32.16,13:10:00,13.17 ,39.62,,,1.4,2.3,全閉,全閉,39.0,39.5,4.8,14:30:00,14.50 ,41.08,1.4,2.3,全閉,全閉,4.8,1,1.4,2.3,全閉,全閉,4.8,2,1.2,2.2,,,,,,
B,2024/10/13,広島県,古米,八反錦,50,2,35,31.32,10:21:00,10.35 ,35.04,,,,,,,,,,13:48:00,13.80 ,41.24,0.8,1.6,全閉,全閉,4.2,1,0.8,1.6,全閉,全閉,4.2,1,0.8,1.6,,,,,,
A,2024/10/14,広島県,古米,八反錦,60,6,135,32.02,11:26:00,11.43 ,35.32,,,1.5,2.4,全閉,全閉,39.0,39.5,6.2,14:42:00,14.70 ,40.96,0.7,1.5,2.5,全開,6.2,2,0.9,1.7,2.5,全開,6.2,1,0.9,1.7,,,,,,
A,2024/10/16,広島県,古米,八反錦,60,6,130,32.52,10:03:00,10.05 ,33.96,,,1.5,2.3,全閉,全閉,39.0,39.5,6.2,14:18:00,14.30 ,40.80,0.9,1.7,2.5,全開,6.2,1,0.9,1.7,2.5,全開,6.2,1,0.9,1.7,,,,,,
B,2024/10/17,広島県,古米,八反錦,60,6,112,32.78,10:48:00,10.80 ,35.40,,,,,,,,,,15:33:00,15.55 ,42.06,0.9,1.8,2.5,全開,6.0,1,0.9,1.8,2.5,全開,6.0,2,0.75,1.65,,,,,,
A,2024/10/18,広島県,古米,八反錦,60,6,135,33.18,11:17:00,11.28 ,35.92,,,1.6,2.5,全閉,全閉,39.0,39.5,6.3,15:14:00,15.23 ,41.64,1.0,1.8,2.5,全開,6.3,1,1.0,1.8,2.5,全開,6.3,1,1.0,1.8,,,,,,
B,2024/10/19,広島県,古米,八反錦,60,6,110,33.60,10:54:00,10.90 ,35.56,,,,,,,,,,15:30:00,15.50 ,41.12,0.8,1.6,2.5,全開,6.0,2,0.9,1.7,2.5,全開,6.0,2,0.85,1.6,,,,,,
A,2024/10/20,広島県,古米,八反錦,60,6,140,33.20,10:22:00,10.37 ,35.06,,,,,,,,,,14:42:00,14.70 ,41.08,1.0,1.8,2.5,全開,6.4,1,1.0,1.8,2.5,全開,6.4,1,1.0,1.8,,,,,,
B,2024/10/21,広島県,古米,八反錦,60,6,130,32.34,,,,,,,,,,,,,14:52:00,14.87 ,,0.9,1.7,2.5,全開,6.3,1,0.9,1.7,2.5,全開,6.3,1,0.9,1.7,,,,,,
A,2024/10/22,広島県,古米,八反錦,60,6,140,32.24,10:49:00,10.82 ,34.44,,,,,,,,,,15:04:00,15.07 ,41.28,1.0,1.8,2.5,全開,6.4,2,1.1,1.8,2.5,全開,6.4,1,1.1,1.8,,,,,,
B,2024/10/23,広島県,古米,八反錦,60,6,140,32.22,11:27:00,11.45 ,35.52,,,,,,,,,,15:02:00,15.03 ,41.08,1.0,1.8,2.5,全開,6.4,1,1.0,1.8,2.5,全開,6.4,2,0.95,1.7,,,,,,
A,2024/10/24,広島県,古米,八反錦,50,6,140,,11:06:00,11.10 ,34.86,,,,,,,,,,15:02:00,15.03 ,40.82,1.0,1.8,2.5,全開,6.3,1,1.0,1.8,2.5,全開,6.3,2,0.9,1.7,,,,,,
B,2024/10/25,広島県,古米,八反錦,60,6,130,31.72,,,,,,,,,,,,,15:14:00,15.23 ,,0.8,1.6,2.5,全開,6.2,1,0.8,1.6,2.5,全開,6.2,2,0.7,1.45,,,,,,
A,2024/10/26,兵庫県,古米,山田錦,50,6,125,32.98,11:49:00,11.82 ,36.88,,,,,,,,,,14:43:00,14.72 ,41.06,0.8,1.6,2.5,全開,6.2,1,0.8,1.6,2.5,全開,6.2,2,0.9,1.8,,,,,,
A,2024/10/28,岡山県,古米,雄町,40,4,85,31.72,10:38:00,10.63 ,34.82,,,1.4,2.2,全閉,全閉,39.0,39.5,5.3,15:13:00,15.22 ,41.52,1.5,2.3,全閉,全閉,5.5,1,1.5,2.3,全閉,全閉,5.5,2,1.4,2.15,0.25,0.65,2.5,全開,5.5,
B,2024/10/29,兵庫県,古米,山田錦,50,4,80,31.20,10:58:00,10.97 ,33.58,,,,,,,,,,15:06:00,15.10 ,41.30,1.4,2.2,全閉,全閉,5.5,2,1.5,2.1,全閉,全閉,5.5,1,1.5,2.1,0.25,0.65,2.5,全開,5.5,
A,2024/10/30,岡山県,古米,雄町,50,6,130,31.64,,,,,,1.5,2.4,全閉,全閉,39.0,39.5,6.3,15:06:00,15.10 ,40.78,0.9,1.8,2.5,全開,6.3,2,1.0,1.8,2.5,全開,6.3,1,1.0,1.8,,,,,,
A,2024/11/1,兵庫県,古米,山田錦,50,6,135,32.02,11:42:00,11.70 ,35.96,,,1.6,2.5,全閉,全閉,39.0,39.5,6.3,14:35:00,14.58 ,40.62,1.0,1.8,2.5,全開,6.3,2,1.1,1.8,2.5,全開,6.3,1,1.1,1.8,,,,,,
B,2024/11/2,岡山県,古米,雄町,50,2,40,30.56,10:30:00,10.50 ,33.52,,,,,,,,,,15:07:00,15.12 ,40.98,1.0,1.8,全閉,全閉,4.5,2,1.1,1.9,全閉,全閉,4.5,2,0.9,1.5,,,,,,
B,2024/11/4,兵庫県,古米,山田錦,50,6,110,32.12,9:57:00,9.95 ,33.48,,,,,,,,,,13:47:00,13.78 ,40.68,0.9,1.7,2.5,全開,6.0,2,0.8,1.6,2.5,全開,6.0,,,,,,,,,
